data,valor
2000-09-01,24804351
2000-10-01,25242074
2000-11-01,25594312
2000-12-01,30814600
2001-01-01,29849943
2001-02-01,28547567
2001-03-01,27646365
2001-04-01,27703612
2001-05-01,27748049
2001-06-01,28283707
2001-07-01,28870734
2001-08-01,28841699
2001-09-01,29272323
2001-10-01,29598363
2001-11-01,29962868
2001-12-01,35870597
2002-01-01,34632282
2002-02-01,33256258
2002-03-01,32926959
2002-04-01,32400876
2002-05-01,32544921
2002-06-01,33715470
2002-07-01,35472925
2002-08-01,36739190
2002-09-01,37827600
2002-10-01,39665884
2002-11-01,40748550
2002-12-01,47789939
2003-01-01,46311079
2003-02-01,43112771
2003-03-01,41326044
2003-04-01,40519458
2003-05-01,39472319
2003-06-01,39776878
2003-07-01,40121664
2003-08-01,40498785
2003-09-01,40811089
2003-10-01,40900356
2003-11-01,41748117
2003-12-01,50092791
2004-01-01,48231324
2004-02-01,47066182
2004-03-01,45485388
2004-04-01,46339928
2004-05-01,46563584
2004-06-01,47818994
2004-07-01,49138781
2004-08-01,49519388
2004-09-01,50236495
2004-10-01,51571092
2004-11-01,52075739
2004-12-01,61197508
2005-01-01,58670645
2005-02-01,56503189
2005-03-01,55093777
2005-04-01,54547454
2005-05-01,54335448
2005-06-01,54972146
2005-07-01,56206009
2005-08-01,56279773
2005-09-01,57051857
2005-10-01,58264878
2005-11-01,58542474
2005-12-01,69143357
2006-01-01,65938397
2006-02-01,63931144
2006-03-01,61998225
2006-04-01,62541846
2006-05-01,62516150
2006-06-01,63958498
2006-07-01,66013313
2006-08-01,67092749
2006-09-01,70880891
2006-10-01,72039952
2006-11-01,72985782
2006-12-01,82881420
2007-01-01,80498589
2007-02-01,78485628
2007-03-01,75677399
2007-04-01,75912051
2007-05-01,76066552
2007-06-01,77560949
2007-07-01,79218210
2007-08-01,79703519
2007-09-01,83916561
2007-10-01,84693929
2007-11-01,86140634
2007-12-01,98619610
2008-01-01,95181572
2008-02-01,91169048
2008-03-01,90364305
2008-04-01,90299591
2008-05-01,91098643
2008-06-01,92270248
2008-07-01,94221554
2008-08-01,95392297
2008-09-01,98221693
2008-10-01,99682241
2008-11-01,100534325
2008-12-01,112142144
2009-01-01,107203477
2009-02-01,104318887
2009-03-01,101098219
2009-04-01,101623041
2009-05-01,102412470
2009-06-01,103769902
2009-07-01,104921263
2009-08-01,106233224
2009-09-01,110261504
2009-10-01,111550652
2009-11-01,113680969
2009-12-01,128161980
2010-01-01,124316506
2010-02-01,123045865
2010-03-01,119570547
2010-04-01,119462155
2010-05-01,119763726
2010-06-01,121274869
2010-07-01,123286999
2010-08-01,125317668
